Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.0002,,,,Horizontal Delay,0.0002
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,100
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-3.040e-04,0.0213859,0.00965938,-0.0002875,,-3.040e-04,-52.3438
-3.020e-04,0.0214531,0.0097375,-0.00028125,,-3.020e-04,5.45312
-3.000e-04,0.0215187,0.00980625,-0.00028125,,-3.000e-04,1.5625
-2.980e-04,0.0215828,0.00992813,-0.000264063,,-2.980e-04,28.8906
-2.960e-04,0.0216453,0.0098625,-0.0002875,,-2.960e-04,-64.0469
-2.940e-04,0.02175,0.00995313,-0.000296875,,-2.940e-04,-7.03125
-2.920e-04,0.0217828,0.00992813,-0.000317188,,-2.920e-04,-28.8906
-2.900e-04,0.0218531,0.0100094,-0.000309375,,-2.900e-04,5.45312
-2.880e-04,0.0219094,0.0100859,-0.000307813,,-2.880e-04,10.1406
-2.860e-04,0.021975,0.0100375,-0.000275,,-2.860e-04,-57.0156
-2.840e-04,0.0220391,0.0103094,-0.000271875,,-2.840e-04,103.906
-2.820e-04,0.0221031,0.0104,-0.000259375,,-2.820e-04,13.2812
-2.800e-04,0.0221516,0.0104781,-0.000254688,,-2.800e-04,14.8281
-2.780e-04,0.0222344,0.0105547,-0.000289063,,-2.780e-04,-3.10938
-2.760e-04,0.0222781,0.0105734,-0.000284375,,-2.760e-04,-12.5
-2.740e-04,0.0223203,0.0106078,-0.000292188,,-2.740e-04,-3.89062
-2.720e-04,0.0223969,0.0105953,-0.000284375,,-2.720e-04,-44.5312
-2.700e-04,0.0224734,0.0105875,-0.000267188,,-2.700e-04,-42.1875
-2.680e-04,0.0224984,0.0106344,-0.000267188,,-2.680e-04,10.9219
-2.660e-04,0.0225578,0.010725,-0.00026875,,-2.660e-04,15.625
-2.640e-04,0.0226234,0.0108594,-0.0003125,,-2.640e-04,34.375
-2.620e-04,0.0226719,0.0107219,-0.000309375,,-2.620e-04,-92.9688
-2.600e-04,0.0227328,0.0107172,-0.000320313,,-2.600e-04,-32.7969
-2.580e-04,0.0227703,0.0106484,-0.000296875,,-2.580e-04,-53.1094
-2.560e-04,0.0228625,0.0106844,-0.000289063,,-2.560e-04,-28.125
-2.540e-04,0.0228891,0.0107,-0.0002875,,-2.540e-04,-5.45312
-2.520e-04,0.0229656,0.0108172,-0.000284375,,-2.520e-04,20.3125
-2.500e-04,0.0230219,0.010925,-0.000279687,,-2.500e-04,25.7656
-2.480e-04,0.0230594,0.0111797,-0.000276563,,-2.480e-04,108.578
-2.460e-04,0.0231125,0.0111875,-0.000289063,,-2.460e-04,-22.6562
-2.440e-04,0.0231469,0.0112125,-0.000279687,,-2.440e-04,-4.6875
-2.420e-04,0.0232141,0.0112406,-0.000264063,,-2.420e-04,-19.5156
-2.400e-04,0.0232703,0.0115,-0.00026875,,-2.400e-04,101.562
-2.380e-04,0.0233109,0.0114203,-0.000251562,,-2.380e-04,-60.1562
-2.360e-04,0.023375,0.0116547,-0.000276563,,-2.360e-04,85.1562
-2.340e-04,0.0234313,0.0117406,-0.000301563,,-2.340e-04,14.8438
-2.320e-04,0.0234328,0.0118875,-0.000307813,,-2.320e-04,72.6406
-2.300e-04,0.0235016,0.0118453,-0.000275,,-2.300e-04,-55.4531
-2.280e-04,0.0235172,0.0118016,-0.000275,,-2.280e-04,-29.6719
-2.260e-04,0.023575,0.0117766,-0.00026875,,-2.260e-04,-41.4062
