N,X,Y,Z,Time,Jitter,Time Calculated,Sender
286,-1.025,0.007,0.008,1654115216.311852,-0.010504913330080967,1654115216.322357,20.0
287,-1.025,0.007,0.007,1654115216.516991,-0.005365991592412911,1654115216.522357,20.0
288,-1.025,0.007,0.007,1654115216.714657,-0.007699823379518023,1654115216.7223568,20.0
289,-1.025,0.007,0.007,1654115216.919538,-0.002818870544437857,1654115216.9223568,20.0
290,-1.025,0.006,0.007,1654115217.125543,0.0031862258911132812,1654115217.122357,20.0
291,-1.025,0.007,0.008,1654115217.330442,0.008085060119626064,1654115217.322357,20.0
292,-1.025,0.007,0.007,1654115217.505139,-0.017217779159551583,1654115217.522357,20.0
293,-1.025,0.007,0.008,1654115217.710878,-0.01147899627685689,1654115217.7223568,20.0
294,-1.025,0.007,0.007,1654115217.947024,0.024667215347285776,1654115217.9223568,20.0
295,-1.025,0.007,0.007,1654115218.105043,-0.01731395721435547,1654115218.122357,20.0
296,-1.025,0.007,0.007,1654115218.310572,-0.011784982681277256,1654115218.322357,20.0
297,-1.025,0.007,0.007,1654115218.516172,-0.006184959411626778,1654115218.522357,20.0
298,-1.025,0.007,0.007,1654115218.721062,-0.0012949466705336476,1654115218.7223568,20.0
299,-1.025,0.007,0.007,1654115218.96852,0.04616303443908265,1654115218.9223568,20.0
300,-1.025,0.007,0.007,1654115219.157602,0.03524518013000488,1654115219.122357,20.0
301,-1.025,0.007,0.007,1654115219.304105,-0.018251848220828037,1654115219.322357,20.0
302,-1.025,0.007,0.007,1654115219.509188,-0.013168954849248848,1654115219.522357,20.0
303,-1.025,0.007,0.007,1654115220.399425,0.6770681381225572,1654115219.7223568,20.0
304,-1.025,0.007,0.007,1654115220.399425,0.47706813812255433,1654115219.9223568,20.0
305,-1.025,0.007,0.007,1654115220.399425,0.2770681381225586,1654115220.122357,20.0
